Name,Year of Birth,Nationality,Occupation
Kamala Harris,1964,United States of America,jurist
Kamala Harris,1964,United States of America,prosecutor
Priyanka Chopra,1982,India,singer
Priyanka Chopra,1982,India,film producer
Priyanka Chopra,1982,India,film actor
Priyanka Chopra,1982,India,model
Priyanka Chopra,1982,India,fashion model
Priyanka Chopra,1982,India,beauty pageant contestant
Adele,1988,United Kingdom,singer
Adele,1988,United Kingdom,musician
Adele,1988,United Kingdom,guitarist
Adele,1988,United Kingdom,singer-songwriter
Adele,1988,United Kingdom,pianist
Adele,1988,United Kingdom,drummer
Adele,1988,United Kingdom,recording artist
Adele,1988,United Kingdom,executive producer
Stephen Hawking,1942,United Kingdom,writer
Stephen Hawking,1942,United Kingdom,theoretical physicist
Stephen Hawking,1942,United Kingdom,cosmologist
Tim Cook,1984,United States of America,ice hockey player
Tim Cook,1971,Canada,historian
Tim Cook,1960,United States of America,computer scientist
Tim Cook,1960,United States of America,businessperson
Tim Cook,1960,United States of America,manager
Tim Cook,1960,United States of America,engineer
Tim Cook,1960,United States of America,chief executive officer
Tim Cook,1960,United States of America,presenter
Tim Cook,1960,United States of America,international forum participant
